Name,Price,Material,Quantity,Shape,Color
ClassicCeramicDinner Plate,9.99,Ceramic,100,Round,White
StainlessSteelServing Plate,12.49,Stainless Steel,50,Oval,Silver
GlassSaladPlate,6.99,Glass,75,Round,Clear
PorcelainDessertPlate,7.99,Porcelain,80,Round,Blue
MelaminePicnicPlate,3.99,Melamine,120,Round,Red
BambooFiberDinnerPlate,8.49,Bamboo Fiber,90,Round,Green
VintageEnamelSidePlate,5.49,Enamel,60,Round,Red
WoodenAppetizerPlate,4.99,Wood,110,Square,Brown
PlasticPartyPlate,2.99,Plastic,150,Round,Assorted
BoneChinaChargerPlate,14.99,Bone China,70,Round,White
