Name,Price,Material,Quantity,Shape,Color
Classic Ceramic Dinner Plate,9.99,Ceramic,100,Round,White
Stainless Steel Serving Plate,12.49,Stainless Steel,50,Oval,Silver
Glass Salad Plate,6.99,Glass,75,Round,Clear
Porcelain Dessert Plate,7.99,Porcelain,80,Round,Blue
Melamine Picnic Plate,3.99,Melamine,120,Round,Red
Bamboo Fiber Dinner Plate,8.49,Bamboo Fiber,90,Round,Green
Vintage Enamel Side Plate,5.49,Enamel,60,Round,Red
Wooden Appetizer Plate,4.99,Wood,110,Square,Brown
Plastic Party Plate,2.99,Plastic,150,Round,Assorted
Bone China Charger Plate,14.99,Bone China,70,Round,White
